IDX | ROLE  | GRID16 | PAIR | START_MS | END_MS | FILE
036 | hat   | 000008 | 0004 |   1611.4 |  1661.4 | exports/tracker_from_image_v05/Camo_Break_-_3A/start_0ms/preview_same_cuts/slice_036_hat_g08_p4.wav
037 | hat   | 000009 | 0004 |   1661.3 |  1706.3 | exports/tracker_from_image_v05/Camo_Break_-_3A/start_0ms/preview_same_cuts/slice_037_hat_g09_p4.wav
038 | kick  | 000009 | 0004 |   1706.2 |  1753.7 | exports/tracker_from_image_v05/Camo_Break_-_3A/start_0ms/preview_same_cuts/slice_038_kick_g09_p4.wav
039 | snare | 000009 | 0004 |   1753.6 |  1798.5 | exports/tracker_from_image_v05/Camo_Break_-_3A/start_0ms/preview_same_cuts/slice_039_snare_g09_p4.wav
040 | hat   | 000009 | 0004 |   1798.5 |  1843.4 | exports/tracker_from_image_v05/Camo_Break_-_3A/start_0ms/preview_same_cuts/slice_040_hat_g09_p4.wav
041 | kick  | 000009 | 0004 |   1843.4 |  1878.4 | exports/tracker_from_image_v05/Camo_Break_-_3A/start_0ms/preview_same_cuts/slice_041_kick_g09_p4.wav
042 | snare | 000010 | 0005 |   1935.7 |  1983.2 | exports/tracker_from_image_v05/Camo_Break_-_3A/start_0ms/preview_same_cuts/slice_042_snare_g10_p5.wav
043 | kick  | 000010 | 0005 |   1983.1 |  2028.0 | exports/tracker_from_image_v05/Camo_Break_-_3A/start_0ms/preview_same_cuts/slice_043_kick_g10_p5.wav
044 | hat   | 000010 | 0005 |   2028.0 |  2075.4 | exports/tracker_from_image_v05/Camo_Break_-_3A/start_0ms/preview_same_cuts/slice_044_hat_g10_p5.wav
045 | kick  | 000011 | 0005 |   2075.4 |  2120.3 | exports/tracker_from_image_v05/Camo_Break_-_3A/start_0ms/preview_same_cuts/slice_045_kick_g11_p5.wav
046 | snare | 000011 | 0005 |   2120.3 |  2167.7 | exports/tracker_from_image_v05/Camo_Break_-_3A/start_0ms/preview_same_cuts/slice_046_snare_g11_p5.wav
047 | hat   | 000011 | 0005 |   2167.7 |  2202.7 | exports/tracker_from_image_v05/Camo_Break_-_3A/start_0ms/preview_same_cuts/slice_047_hat_g11_p5.wav
048 | snare | 000011 | 0005 |   2190.2 |  2225.1 | exports/tracker_from_image_v05/Camo_Break_-_3A/start_0ms/preview_same_cuts/slice_048_snare_g11_p5.wav
049 | kick  | 000011 | 0005 |   2212.6 |  2257.5 | exports/tracker_from_image_v05/Camo_Break_-_3A/start_0ms/preview_same_cuts/slice_049_kick_g11_p5.wav
050 | hat   | 000012 | 0006 |   2257.5 |  2304.9 | exports/tracker_from_image_v05/Camo_Break_-_3A/start_0ms/preview_same_cuts/slice_050_hat_g12_p6.wav
051 | snare | 000012 | 0006 |   2304.9 |  2349.8 | exports/tracker_from_image_v05/Camo_Break_-_3A/start_0ms/preview_same_cuts/slice_051_snare_g12_p6.wav
052 | hat   | 000012 | 0006 |   2349.8 |  2397.2 | exports/tracker_from_image_v05/Camo_Break_-_3A/start_0ms/preview_same_cuts/slice_052_hat_g12_p6.wav
053 | hat   | 000012 | 0006 |   2397.2 |  2442.1 | exports/tracker_from_image_v05/Camo_Break_-_3A/start_0ms/preview_same_cuts/slice_053_hat_g12_p6.wav
054 | kick  | 000013 | 0006 |   2442.1 |  2489.5 | exports/tracker_from_image_v05/Camo_Break_-_3A/start_0ms/preview_same_cuts/slice_054_kick_g13_p6.wav
055 | snare | 000013 | 0006 |   2489.5 |  2534.4 | exports/tracker_from_image_v05/Camo_Break_-_3A/start_0ms/preview_same_cuts/slice_055_snare_g13_p6.wav
056 | hat   | 000013 | 0006 |   2534.4 |  2579.3 | exports/tracker_from_image_v05/Camo_Break_-_3A/start_0ms/preview_same_cuts/slice_056_hat_g13_p6.wav
057 | kick  | 000013 | 0006 |   2579.3 |  2626.7 | exports/tracker_from_image_v05/Camo_Break_-_3A/start_0ms/preview_same_cuts/slice_057_kick_g13_p6.wav
058 | hat   | 000013 | 0006 |   2626.7 |  2671.6 | exports/tracker_from_image_v05/Camo_Break_-_3A/start_0ms/preview_same_cuts/slice_058_hat_g13_p6.wav
059 | snare | 000014 | 0007 |   2671.6 |  2721.5 | exports/tracker_from_image_v05/Camo_Break_-_3A/start_0ms/preview_same_cuts/slice_059_snare_g14_p7.wav
060 | kick  | 000014 | 0007 |   2719.0 |  2763.9 | exports/tracker_from_image_v05/Camo_Break_-_3A/start_0ms/preview_same_cuts/slice_060_kick_g14_p7.wav
061 | hat   | 000014 | 0007 |   2763.9 |  2813.8 | exports/tracker_from_image_v05/Camo_Break_-_3A/start_0ms/preview_same_cuts/slice_061_hat_g14_p7.wav
062 | hat   | 000014 | 0007 |   2813.8 |  2858.7 | exports/tracker_from_image_v05/Camo_Break_-_3A/start_0ms/preview_same_cuts/slice_062_hat_g14_p7.wav
063 | snare | 000015 | 0007 |   2856.2 |  2901.1 | exports/tracker_from_image_v05/Camo_Break_-_3A/start_0ms/preview_same_cuts/slice_063_snare_g15_p7.wav
064 | hat   | 000015 | 0007 |   2901.1 |  2941.0 | exports/tracker_from_image_v05/Camo_Break_-_3A/start_0ms/preview_same_cuts/slice_064_hat_g15_p7.wav
